Filename	Position Index	X Position	Y Position	Baseline Offset [N]	Baseline Slope	Contact Point Offset [m]	Oscillation Frequency [Hz]	Force Amplitude [N]	Force Phase [deg]	Indentation Amplitude [m]	Indentation Phase [deg]	Indentation Mean [m]	Phase Offset [deg]	Phase Delta [deg]	Youngs Modulus [Pa]	Storage Modulus E' [Pa]	Loss Modulus E'' [Pa]	Shear Storage G' [Pa]	Shear Loss G'' [Pa]	Loss Tan	Drag Correction [Pa]
Chromosome5_200Hz-data-2023.06.06-15.13.04.910_00.jpk-force	0	0.000106188	-0.00198144	-2.59318e-09		8.12119e-06	200.000	1.35856e-09	341.957	3.38502e-10	176.551	-1.46655e-06	0.00000	165.405	1.83045e+06	-1.77139e+06	461232	-590463	153744	-0.260378	0.00000
Chromosome5_200Hz-data-2023.06.06-15.13.04.910_01.jpk-force	1	0.000107188	-0.00198144	-2.58993e-09		8.15848e-06	200.000	1.36005e-09	341.990	3.49988e-10	176.413	-1.49945e-06	0.00000	165.578	1.76587e+06	-1.71022e+06	439821	-570073	146607	-0.257172	0.00000
Chromosome5_200Hz-data-2023.06.06-15.13.04.910_02.jpk-force	2	0.000108188	-0.00198144	-2.59293e-09		6.67444e-06	200.000	1.32541e-09	342.543	1.89095e-10	-133.053	-1.09045e-08	0.00000	115.596	2.70425e+07	-1.16832e+07	2.43885e+07	-3.89439e+06	8.12952e+06	-2.08750	0.00000
Chromosome5_200Hz-data-2023.06.06-15.13.04.910_03.jpk-force	3	0.000109188	-0.00198144	-2.58970e-09		7.88766e-06	200.000	1.36316e-09	342.400	3.87900e-10	-175.020	-1.22067e-06	0.00000	157.420	1.66111e+06	-1.53378e+06	637811	-511260	212604	-0.415843	0.00000
Chromosome5_200Hz-data-2023.06.06-15.13.04.910_04.jpk-force	4	0.000110188	-0.00198144	-2.63896e-09		8.15876e-06	200.000	1.34309e-09	342.207	2.48310e-10	-169.097	-1.48823e-06	0.00000	151.304	2.46091e+06	-2.15867e+06	1.18163e+06	-719556	393878	-0.547391	0.00000
Chromosome5_200Hz-data-2023.06.06-15.13.04.910_05.jpk-force	5	0.000110188	-0.00198044	-2.59669e-09		8.14319e-06	200.000	1.27030e-09	343.177	4.25821e-10	-58.7243	-1.47281e-06	0.00000	41.9015	1.35960e+06	1.01194e+06	908015	337315	302672	0.897297	0.00000
Chromosome5_200Hz-data-2023.06.06-15.13.04.910_06.jpk-force	6	0.000109188	-0.00198044	-2.60308e-09		8.41979e-06	200.000	1.34017e-09	342.215	2.28754e-10	-164.191	-1.75410e-06	0.00000	146.406	2.60529e+06	-2.17016e+06	1.44152e+06	-723385	480507	-0.664248	0.00000
Chromosome5_200Hz-data-2023.06.06-15.13.04.910_07.jpk-force	7	0.000108188	-0.00198044	-2.61547e-09		8.50999e-06	200.000	1.53459e-10	13.9198	8.66813e-09	-22.4717	-1.79857e-06	0.00000	36.3915	7850.97	6319.88	4657.98	2106.63	1552.66	0.737035	0.00000
Chromosome5_200Hz-data-2023.06.06-15.13.04.910_08.jpk-force	8	0.000107188	-0.00198044	-2.61275e-09		8.40281e-06	200.000	1.32578e-09	342.302	1.61567e-10	-142.568	-1.74432e-06	0.00000	124.870	3.65148e+06	-2.08761e+06	2.99586e+06	-695870	998620	-1.43507	0.00000
Chromosome5_200Hz-data-2023.06.06-15.13.04.910_09.jpk-force	9	0.000106188	-0.00198044	-2.61955e-09		8.48203e-06	200.000	1.30782e-09	342.935	2.48655e-10	-98.7971	-1.82734e-06	0.00000	81.7325	2.32850e+06	334826	2.30430e+06	111609	768100	6.88208	0.00000
