	Filename	Contact Point [nm]	Oscillation Frequency [Hz]	Force Amplitude [N]	Phase Delta [deg]	Indentation Amplitude [m]	Force Phase [deg]	Young Modulus [Pa]	Storage Modulus E' [Pa]	Loss Modulus E'' [Pa]	Shear Storage G' [Pa]	Shear Loss G'' [Pa]	Loss Tan
8	Chromosome3	8676.429999999998	20.0	4.92179e-11	27.6082	9.68153e-09	24.8467	2572.44	2279.54	1192.13	759.846	397.377	0.52297
11	Chromosome3	9593.46	20.0	7.93278e-11	28.3326	9.48813e-09	24.9512	3666.71	3227.47	1740.18	1075.82	580.06	0.539178
12	Chromosome3	9626.87	20.0	9.63637e-11	12.132	9.31285e-09	9.46785	4514.42	4413.6	948.771	1471.2	316.257	0.214965
13	Chromosome3	9333.96	20.0	7.04094e-11	10.9747	9.49647e-09	8.60558	3313.87	3253.26	630.877	1084.42	210.292	0.193921
16	Chromosome3	8965.32	20.0	9.61844e-11	11.1529	9.31184e-09	8.55832	4731.5	4642.15	915.205	1547.38	305.068	0.197151
17	Chromosome3	8959.51	20.0	1.53887e-10	10.1878	8.89406e-09	7.22621	7769.73	7647.23	1374.28	2549.08	458.092	0.179709
18	Chromosome3	8972.34	20.0	1.28421e-10	19.3138	9.11196e-09	15.7162	6277.22	5923.94	2076.14	1974.65	692.045	0.350465
26	Chromosome16	4320.35	200.0	3.92547e-11	23.6411	9.30335e-09	3.94058	2173.74	1991.31	871.682	663.77	290.561	0.437743
27	Chromosome16	5294.28	200.0	5.65481e-11	23.329	9.19573e-09	3.48244	2961.18	2719.1	1172.66	906.365	390.886	0.431267
30	Chromosome16	3620.73	200.0	5.90127e-11	23.244	9.164e-09	3.10983	3584.27	3293.35	1414.52	1097.78	471.508	0.42951
31	Chromosome16	5092.32	200.0	3.4192e-11	29.2069	9.36057e-09	9.62363	1779.91	1553.62	868.534	517.872	289.511	0.55904
32	Chromosome16	5279.57	200.0	7.748e-11	18.7808	9.03814e-09	358.768	4290.26	4061.83	1381.24	1353.94	460.414	0.340054
33	Chromosome16	4743.18	200.0	6.04108e-11	22.5357	9.16398e-09	2.61579	3965.43	3662.64	1519.79	1220.88	506.596	0.414944
36	Chromosome16	3988.44	200.0	6.41914e-11	25.4669	9.14643e-09	5.17444	3685.95	3327.8	1584.92	1109.27	528.307	0.476266
37	Chromosome16	4763.71	200.0	6.11678e-11	24.4219	9.16037e-09	4.27293	3136.51	2855.88	1296.8	951.959	432.267	0.454082
38	Chromosome16	4711.84	200.0	8.27457e-11	21.5953	9.00195e-09	1.14757	4228.46	3931.65	1556.28	1310.55	518.759	0.395833
39	Chromosome16	5040.1	200.0	8.42014e-11	20.0955	8.98149e-09	359.795	4142.35	3890.17	1423.25	1296.72	474.418	0.365859
40	Chromosome16	4991.54	200.0	6.51487e-11	23.6982	9.12345e-09	3.46672	3157.66	2891.39	1269.12	963.798	423.041	0.438931
41	Chromosome16	4649.97	200.0	6.52573e-11	25.9308	9.12924e-09	5.52496	3230.83	2905.56	1412.8	968.519	470.932	0.486239
42	Chromosome16	4380.72	200.0	5.83798e-11	24.2157	9.1736e-09	4.07279	3081.21	2810.09	1263.83	936.696	421.276	0.449747
43	Chromosome16	4013.68	200.0	7.39013e-11	21.1394	9.05783e-09	0.788414	3927.43	3663.13	1416.38	1221.04	472.128	0.386659
44	Chromosome16	3655.68	200.0	7.83348e-11	22.3966	9.02796e-09	1.87011	4206.15	3888.87	1602.61	1296.29	534.203	0.412101
45	Chromosome16	3715.2599999999998	200.0	1.54742e-10	17.0195	8.46986e-09	355.739	8631.18	8253.18	2526.32	2751.06	842.106	0.306103
46	Chromosome16	3957.8999999999996	200.0	1.40916e-10	15.8514	8.56525e-09	354.881	7554.16	7266.9	2063.37	2422.3	687.79	0.283941
47	Chromosome16	4082.12	200.0	8.10237e-11	21.3793	8.99706e-09	0.650732	4025.76	3748.74	1467.55	1249.58	489.185	0.39148
48	Chromosome16	2349.16	200.0	1.93926e-10	15.1324	8.17681e-09	353.47	25282.8	24406.1	6600.09	8135.37	2200.03	0.270428
49	Chromosome16	2303.0499999999997	200.0	1.97727e-10	16.816	8.16151e-09	354.848	23212.1	22219.5	6715.24	7406.5	2238.41	0.302223
61	Chromosome4	8897.939999999999	20.0	9.35312e-11	23.4858	9.37165e-09	20.1039	4508.51	4135.02	1796.74	1378.34	598.914	0.434519
