Profile 1             Profile 2             Profile 3             Profile 4             Profile 5             Profile 6             Profile 7             Profile 8             Profile 9             Profile 10             Profile 11             
x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           x       y           
[m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         [m]     [m]         
0  4.4293334e-07            0  4.4480744e-07            0  4.1145255e-07            0  3.4709405e-07            0  2.9385083e-07            0  3.0619735e-07            0  4.1780158e-07            0  3.9985799e-07            0  3.5893735e-07            0  3.6641518e-07            0  3.5033023e-07            
1.3369274e-08  4.5487584e-07            1.3356642e-08  4.5378742e-07            1.3333939e-08  4.099286e-07            1.3318126e-08  3.5505701e-07            1.3318803e-08  3.1944651e-07            1.331812e-08  3.143211e-07            1.3348427e-08  4.0569122e-07            1.3384732e-08  3.9370742e-07            1.3344292e-08  3.7670632e-07            1.3358858e-08  3.7286123e-07            1.3384548e-08  3.5351455e-07            
2.6738548e-08  4.6670644e-07            2.6713284e-08  4.645477e-07            2.6667877e-08  4.0940805e-07            2.6636251e-08  3.6622588e-07            2.6637607e-08  3.4699141e-07            2.663624e-08  3.2074978e-07            2.6696854e-08  3.957479e-07            2.6769464e-08  3.8074604e-07            2.6688584e-08  3.8712905e-07            2.6717717e-08  3.7264026e-07            2.6769096e-08  3.7112328e-07            
4.0107823e-08  4.7759128e-07            4.0069927e-08  4.7214526e-07            4.0001816e-08  4.0456354e-07            3.9954377e-08  3.732985e-07            3.995641e-08  3.607731e-07            3.9954359e-08  3.2702563e-07            4.0045281e-08  3.9221219e-07            4.0154196e-08  3.7231038e-07            4.0032877e-08  3.9559755e-07            4.0076575e-08  3.7624436e-07            4.0153645e-08  3.782311e-07            
5.3477097e-08  4.897151e-07            5.3426569e-08  4.7661537e-07            5.3335755e-08  4.0348088e-07            5.3272502e-08  3.8103919e-07            5.3275214e-08  3.576686e-07            5.3272479e-08  3.3103606e-07            5.3393709e-08  3.9666921e-07            5.3538927e-08  3.7471629e-07            5.3377169e-08  4.0096096e-07            5.3435433e-08  3.8708224e-07            5.3538193e-08  3.6752869e-07            
6.6846371e-08  4.8398384e-07            6.6783211e-08  4.8174388e-07            6.6669693e-08  4.0211574e-07            6.6590628e-08  3.8027771e-07            6.6594017e-08  3.5429908e-07            6.6590599e-08  3.3066438e-07            6.6742136e-08  3.9922234e-07            6.6923659e-08  3.8477913e-07            6.6721461e-08  3.9455507e-07            6.6794291e-08  3.9072141e-07            6.6922741e-08  3.5859961e-07            
8.0215645e-08  4.5492189e-07            8.0139853e-08  4.8190629e-07            8.0003632e-08  4.0099335e-07            7.9908753e-08  3.7481247e-07            7.9912821e-08  3.4338753e-07            7.9908719e-08  3.3007143e-07            8.0090563e-08  3.9650527e-07            8.0308391e-08  3.9656709e-07            8.0065753e-08  3.7812155e-07            8.015315e-08  3.8457926e-07            8.0307289e-08  3.6146579e-07            
9.3584919e-08  4.3140933e-07            9.3496496e-08  4.7867543e-07            9.3337571e-08  4.0457284e-07            9.3226879e-08  3.6913913e-07            9.3231624e-08  3.4512849e-07            9.3226838e-08  3.2977702e-07            9.343899e-08  3.96687e-07            9.3693123e-08  3.9899281e-07            9.3410045e-08  3.5950791e-07            9.3512008e-08  3.7308777e-07            9.3691837e-08  3.679268e-07            
1.0695419e-07  4.2878288e-07            1.0685314e-07  4.7620773e-07            1.0667151e-07  4.2930058e-07            1.06545e-07  3.6346593e-07            1.0655043e-07  3.4506889e-07            1.0654496e-07  3.3123009e-07            1.0678742e-07  3.9869025e-07            1.0707785e-07  3.86767e-07            1.0675434e-07  3.4567344e-07            1.0687087e-07  3.5883808e-07            1.0707639e-07  3.7058264e-07            
1.2032347e-07  4.347292e-07            1.2020978e-07  4.6710412e-07            1.2000545e-07  4.3569939e-07            1.1986313e-07  3.5861503e-07            1.1986923e-07  3.4382367e-07            1.1986308e-07  3.3726336e-07            1.2013584e-07  3.9658973e-07            1.2046259e-07  3.7384391e-07            1.2009863e-07  3.4434076e-07            1.2022972e-07  3.5221301e-07            1.2046093e-07  3.6860833e-07            
1.3369274e-07  4.412863e-07            1.3356642e-07  4.5489093e-07            1.3333939e-07  4.428887e-07            1.3318126e-07  3.6209079e-07            1.3318803e-07  3.4195374e-07            1.331812e-07  3.4800296e-07            1.3348427e-07  3.9302009e-07            1.3384732e-07  3.7027963e-07            1.3344292e-07  3.5738845e-07            1.3358858e-07  3.5852139e-07            1.3384548e-07  3.6404182e-07            
